Satellite Name,Time (UTC),Latitude,Longitude,Altitude (m)
STARLINK-1008,2026-01-03T12:48:40Z,44.937722079121464,-38.42249947539149,553775.8502462212
STARLINK-1008,2026-01-03T12:58:40Z,19.13845412130031,-7.734283005172209,548820.8855772164
STARLINK-1008,2026-01-03T13:08:40Z,-10.897335123340278,13.049597289765897,550806.1799137902
STARLINK-1008,2026-01-03T13:18:40Z,-38.718968226780106,39.073956482029075,560298.0169978979
STARLINK-1008,2026-01-03T13:28:40Z,-53.19172173081871,87.80892230091274,566386.6669065026
STARLINK-1008,2026-01-03T13:38:40Z,-40.15299684746036,138.03412998439595,561680.4050965705
STARLINK-1008,2026-01-03T13:48:40Z,-12.713316610614303,164.90486359967355,552519.1162487591
STARLINK-1008,2026-01-03T13:58:40Z,17.34509638431495,-174.41043573155594,549897.6761647745
STARLINK-1008,2026-01-03T14:08:40Z,43.67316709027705,-144.89202329121537,554128.6689565871
STARLINK-1008,2026-01-03T14:18:40Z,52.61244312858922,-91.13832624287915,555849.5012616398
STARLINK-1008,2026-01-03T14:28:40Z,34.62678907006366,-46.62834781650623,551318.317420433
STARLINK-1008,2026-01-03T14:38:40Z,5.930544898761945,-22.527008065626294,548464.4211613887
STARLINK-1008,2026-01-03T14:48:40Z,-23.89357007291681,-1.2597959830095842,554593.8766039577
STARLINK-1008,2026-01-03T14:58:40Z,-47.94159681924606,32.84307397763623,564134.2869794674
STARLINK-1008,2026-01-03T15:08:40Z,-50.515803229665266,89.11129263130857,565560.4104334351
STARLINK-1008,2026-01-03T15:18:40Z,-28.787371528716037,127.51217458756575,557417.5670821724
STARLINK-1008,2026-01-03T15:28:40Z,0.6362384848307603,149.71471714856722,550182.2852861047
STARLINK-1008,2026-01-03T15:38:40Z,29.964025365945485,172.2431770602574,551413.8378922459
STARLINK-1008,2026-01-03T15:48:40Z,51.060725747640525,-148.07903708214522,555721.1297559928
STARLINK-1008,2026-01-03T15:58:40Z,47.103732367558216,-91.9805623240509,554345.8640513374
STARLINK-1008,2026-01-03T16:08:41Z,22.446969091362323,-58.91104486831963,549197.4554633445
STARLINK-1008,2026-01-03T16:18:41Z,-7.470545098951221,-37.822992477075275,550082.103056478
STARLINK-1008,2026-01-03T16:28:41Z,-35.89893764931846,-13.211814657605217,559146.6195362564
STARLINK-1008,2026-01-03T16:38:41Z,-52.86776784081223,32.50130907118577,566212.9357612112
STARLINK-1008,2026-01-03T16:48:41Z,-42.72608009388964,85.24251031490269,562662.3141019825
STARLINK-1008,2026-01-03T16:58:41Z,-16.097600471967095,113.93207052156983,553380.9886609204
STARLINK-1008,2026-01-03T17:08:41Z,13.97047202514034,134.5819876644867,549722.6521170657
STARLINK-1008,2026-01-03T17:18:41Z,41.16675398210514,162.1629236961268,553588.890130003
STARLINK-1008,2026-01-03T17:28:41Z,53.11005694656364,-146.411884877019,556023.3983968694
STARLINK-1008,2026-01-03T17:38:41Z,37.51219810326596,-98.7947724082241,551970.4854722068
STARLINK-1008,2026-01-03T17:48:41Z,9.367482634678945,-73.38036760102709,548384.4718975553
STARLINK-1008,2026-01-03T17:58:41Z,-20.613628478074435,-52.492047256003076,553506.9186090052
STARLINK-1008,2026-01-03T18:08:41Z,-45.8902965382714,-20.878163353307375,563279.422164686
STARLINK-1008,2026-01-03T18:18:41Z,-51.77322569796593,34.37595605249446,565988.3529526066
STARLINK-1008,2026-01-03T18:28:41Z,-31.878493188929127,75.83520302725594,558534.0090592651
STARLINK-1008,2026-01-03T18:38:41Z,-2.8162622620083386,98.90827176441533,550604.7587958452
STARLINK-1008,2026-01-03T18:48:41Z,26.81253617209988,120.68858405547934,550920.0680175655
STARLINK-1008,2026-01-03T18:58:41Z,49.58758796510847,157.39113304919834,555418.3656404188
STARLINK-1008,2026-01-03T19:08:41Z,49.00119089326722,-145.95944858063712,554855.4379361819
STARLINK-1008,2026-01-03T19:18:41Z,25.697914569684297,-110.22987574538126,549662.9305300507
STARLINK-1008,2026-01-03T19:28:41Z,-4.026988334495472,-88.65511092972014,549481.9707165535
STARLINK-1008,2026-01-03T19:38:41Z,-32.94926925018424,-65.21468320542168,557968.1702402324
STARLINK-1008,2026-01-03T19:48:41Z,-52.13066622038964,-22.63679861310069,565884.1523108869
STARLINK-1008,2026-01-03T19:58:41Z,-45.10105400825769,32.07407618799406,563561.5062924119
STARLINK-1008,2026-01-03T20:08:41Z,-19.44398832784467,62.865631162889805,554328.5092015261
STARLINK-1008,2026-01-03T20:18:41Z,10.56406163106195,83.65451792345316,549659.22053357
STARLINK-1008,2026-01-03T20:28:41Z,38.480388119612606,109.5752722925333,553023.8214613171
STARLINK-1008,2026-01-03T20:38:41Z,53.18393773859583,158.2206753694759,556095.7427262315
STARLINK-1008,2026-01-03T20:48:41Z,40.25482708426433,-151.2682176327859,552626.5557862136
STARLINK-1008,2026-01-03T20:58:41Z,12.784293324312555,-124.28594607920482,548434.9556095918
STARLINK-1008,2026-01-03T21:08:41Z,-17.28166730073532,-103.59815520700484,552491.7727669053
STARLINK-1008,2026-01-03T21:18:41Z,-43.59325160112595,-74.18856412055044,562322.2478331553
STARLINK-1008,2026-01-03T21:28:41Z,-52.65204866050525,-20.67313374978977,566267.8948884082
STARLINK-1008,2026-01-03T21:38:41Z,-34.868007967974386,23.92459408001358,559645.726658216
STARLINK-1008,2026-01-03T21:48:41Z,-6.2625278955748716,48.08682288061462,551151.225199993
STARLINK-1008,2026-01-03T21:58:41Z,23.585600100566165,69.31482115291213,550486.4440196983
